name,url,description,duration,remote_support,adaptive_support,test_type
Fire Engineering (New),https://www.shl.com/products/product-catalog/view/fire-engineering-new/,Fire Engineering (New),,Yes,No,['K']
Following Instructions v1 - UK (R1),https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Following Instructions v1 - UK (R1),,Yes,No,['K']
Following Instructions v1 - US (R2),https://www.shl.com/products/product-catalog/view/following-instructions-v1-us-r2/,Following Instructions v1 - US (R2),,Yes,No,['K']
Food and Beverage Services (New),https://www.shl.com/products/product-catalog/view/food-and-beverage-services-new/,Food and Beverage Services (New),,Yes,No,['K']
Food Science (New),https://www.shl.com/products/product-catalog/view/food-science-new/,Food Science (New),,Yes,No,['K']
Front Office Management (New),https://www.shl.com/products/product-catalog/view/front-office-management-new/,Front Office Management (New),,Yes,No,['K']
Fundamentals of Chemistry (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,Fundamentals of Chemistry (New),,Yes,No,['K']
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,Fundamentals of Physics (New),,Yes,No,['K']
General Diseases (New),https://www.shl.com/products/product-catalog/view/general-diseases-new/,General Diseases (New),,Yes,No,['K']
Geoinformatics Engineering (New),https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,Geoinformatics Engineering (New),,Yes,No,['K']
Geoscience Engineering (New),https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,Geoscience Engineering (New),,Yes,No,['K']
GIT (New),https://www.shl.com/products/product-catalog/view/git-new/,GIT (New),,Yes,No,['K']
Global Skills Assessment,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Global Skills Assessment,,Yes,No,"['C', 'K']"
Graduate Scenarios,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Graduate Scenarios,,Yes,No,['B']
Graduate Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-narrative-report/,Graduate Scenarios Narrative Report,,Yes,No,['B']
Graduate Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,Graduate Scenarios Profile Report,,Yes,No,['B']
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,Hibernate (New),,Yes,No,['K']
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,HIPAA (Security),,Yes,Yes,['K']
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,HiPo Assessment Report 1.0,,Yes,No,"['C', 'P']"
HiPo Assessment Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,HiPo Assessment Report 2.0,,Yes,No,"['C', 'P']"
HiPo Unlocking Potential Report 2.0,https://www.shl.com/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,HiPo Unlocking Potential Report 2.0,,Yes,No,['C']
Housekeeping (New),https://www.shl.com/products/product-catalog/view/housekeeping-new/,Housekeeping (New),,Yes,No,['K']
HTML/CSS (New),https://www.shl.com/products/product-catalog/view/htmlcss-new/,HTML/CSS (New),,Yes,No,['K']
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,HTML5 (New),,Yes,No,['K']
Human Resources (New),https://www.shl.com/products/product-catalog/view/human-resources-new/,Human Resources (New),,Yes,No,['K']
IBM DataStage (New),https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,IBM DataStage (New),,Yes,No,['K']
IBM Sterling Order Management System (New),https://www.shl.com/products/product-catalog/view/ibm-sterling-order-management-system-new/,IBM Sterling Order Management System (New),,Yes,No,['K']
Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/industrial-engineering-new/,Industrial Engineering (New),,Yes,No,['K']
Informatica (Architecture) (New),https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,Informatica (Architecture) (New),,Yes,No,['K']
Informatica (Developer) (New),https://www.shl.com/products/product-catalog/view/informatica-developer-new/,Informatica (Developer) (New),,Yes,No,['K']
Instrumentation Engineering (New),https://www.shl.com/products/product-catalog/view/instrumentation-engineering-new/,Instrumentation Engineering (New),,Yes,No,['K']
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Interpersonal Communications,,Yes,Yes,['K']
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Interviewing and Hiring Concepts (U.S.),,Yes,Yes,['K']
iOS Development (New),https://www.shl.com/products/product-catalog/view/ios-development-new/,iOS Development (New),,Yes,No,['K']
ITIL (IT Infrastructure Library) (New),https://www.shl.com/products/product-catalog/view/itil-it-infrastructure-library-new/,ITIL (IT Infrastructure Library) (New),,Yes,No,['K']
Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Java 2 Platform Enterprise Edition 1.4 Fundamental,,Yes,Yes,['K']
Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,Java 8 (New),,Yes,No,['K']
Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Java Design Patterns (New),,Yes,No,['K']
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,Java Frameworks (New),,Yes,No,['K']
Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Java Platform Enterprise Edition 7 (Java EE 7),,Yes,Yes,['K']
Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,Java Web Services (New),,Yes,No,['K']
JavaScript (New),https://www.shl.com/products/product-catalog/view/javascript-new/,JavaScript (New),,Yes,No,['K']
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,Jenkins (New),,Yes,No,['K']
Job Control Language (New),https://www.shl.com/products/product-catalog/view/job-control-language-new/,Job Control Language (New),,Yes,No,['K']
jQuery (New),https://www.shl.com/products/product-catalog/view/jquery-new/,jQuery (New),,Yes,No,['K']
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,Kubernetes (New),,Yes,No,['K']
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,Linux Administration (New),,Yes,No,['K']
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,Linux Operating System,,Yes,No,['K']
Linux Programming (General),https://www.shl.com/products/product-catalog/view/linux-programming-general/,Linux Programming (General),,Yes,Yes,['K']
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,Load Runner (New),,Yes,No,['K']
Management Scenarios,https://www.shl.com/products/product-catalog/view/management-scenarios/,Management Scenarios,,Yes,No,['B']
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,Managerial Scenarios Candidate Report,,Yes,No,['B']
Managerial Scenarios Narrative Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-narrative-report/,Managerial Scenarios Narrative Report,,Yes,No,['B']
Managerial Scenarios Profile Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,Managerial Scenarios Profile Report,,Yes,No,['B']
Manual Testing (New),https://www.shl.com/products/product-catalog/view/manual-testing-new/,Manual Testing (New),,Yes,No,['K']
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Manufac. & Indust. - Mechanical & Vigilance 8.0,,Yes,No,"['A', 'P']"
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,Manufac. & Indust. - Safety & Dependability 8.0,,Yes,No,['P']
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,Manufacturing & Industrial - Essential Focus 8.0,,Yes,No,['P']
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,Manufacturing & Industrial - Mechanical Focus 8.0,,Yes,No,"['A', 'P']"
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,Manufacturing & Industrial - Vigilance Focus 8.0,,Yes,No,"['A', 'P']"
Marketing (New),https://www.shl.com/products/product-catalog/view/marketing-new/,Marketing (New),,Yes,No,['K']
Maven (New),https://www.shl.com/products/product-catalog/view/maven-new/,Maven (New),,Yes,No,['K']
Mechanical Engineering (New),https://www.shl.com/products/product-catalog/view/mechanical-engineering-new/,Mechanical Engineering (New),,Yes,No,['K']
Mechatronics Engineering (New),https://www.shl.com/products/product-catalog/view/mechatronics-engineering-new/,Mechatronics Engineering (New),,Yes,No,['K']
Medical Terminology (New),https://www.shl.com/products/product-catalog/view/medical-terminology-new/,Medical Terminology (New),,Yes,No,['K']
Metallurgical Engineering (New),https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,Metallurgical Engineering (New),,Yes,No,['K']
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,MFS 360 Enterprise Leadership Report,,Yes,No,['D']
MFS 360 UCF Group Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-group-report/,MFS 360 UCF Group Report,,Yes,No,['D']
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,MFS 360 UCF Performance Potential Dev Tips Report,,Yes,No,['D']
MFS 360 UCF Standard Report,https://www.shl.com/products/product-catalog/view/mfs-360-ucf-standard-report/,MFS 360 UCF Standard Report,,Yes,No,['D']
Micro Focus Unified Functional Testing (New),https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Micro Focus Unified Functional Testing (New),,Yes,No,['K']
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,Microservices (New),,Yes,No,['K']
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,Microsoft Dynamics Development (New),,Yes,No,['K']
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,Microsoft Excel 365 - Essentials (New),,Yes,No,"['K', 'S']"
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,Microsoft Excel 365 (New),,Yes,No,"['K', 'S']"
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Microsoft Outlook 2013 (adaptive),,Yes,Yes,['K']
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Microsoft PowerPoint 365 - Essentials (New),,Yes,No,"['K', 'S']"
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,Microsoft SQL Server 2014 Programming,,Yes,Yes,['K']
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,Microsoft Windows Server 2012 Administration,,Yes,Yes,['K']
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,Microsoft Word 365 - Essentials (New),,Yes,No,"['K', 'S']"
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,Microsoft Word 365 (New),,Yes,No,"['S', 'K']"
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,Mineral Engineering (New),,Yes,No,['K']
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,Mining Engineering (New),,Yes,No,['K']
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,Mobility (New),,Yes,No,['K']
